"Jahr","Energietraeger","Anteil","Kanton"
"2015","Heizöl",0.402,"AI"
"2015","Holz",0.337,"AI"
"2015","Kohle",0,"AI"
"2015","Sonnenkollektor",0.004,"AI"
"2015","Wärmepumpe",0.168,"AI"
"2015","Andere_Energieträger",0.008,"SG"
"2015","Elektrizität",0.038,"SG"
"2015","Fernwärme",0.012,"SG"
"2015","Gas",0.191,"SG"
"2015","Heizöl",0.479,"SG"
"2015","Holz",0.152,"SG"
"2015","Kohle",0.001,"SG"
"2015","Sonnenkollektor",0.004,"SG"
"2015","Wärmepumpe",0.115,"SG"
"2015","Andere_Energieträger",0.004,"GR"
"2015","Elektrizität",0.144,"GR"
"2015","Fernwärme",0.003,"GR"
"2015","Gas",0.035,"GR"
"2015","Heizöl",0.436,"GR"
"2015","Holz",0.246,"GR"
"2015","Kohle",0.001,"GR"
"2015","Sonnenkollektor",0.005,"GR"
"2015","Wärmepumpe",0.126,"GR"
"2015","Andere_Energieträger",0.006,"AG"
"2015","Elektrizität",0.067,"AG"
"2015","Fernwärme",0.033,"AG"
"2015","Gas",0.127,"AG"
"2015","Heizöl",0.497,"AG"
"2015","Holz",0.082,"AG"
"2015","Kohle",0.001,"AG"
"2015","Sonnenkollektor",0.003,"AG"
"2015","Wärmepumpe",0.184,"AG"
"2015","Andere_Energieträger",0.005,"TG"
"2015","Elektrizität",0.038,"TG"
"2015","Fernwärme",0.008,"TG"
"2015","Gas",0.276,"TG"
"2015","Heizöl",0.418,"TG"
"2015","Holz",0.124,"TG"
"2015","Kohle",0,"TG"
"2015","Sonnenkollektor",0.003,"TG"
"2015","Wärmepumpe",0.128,"TG"
"2015","Andere_Energieträger",0.002,"TI"
"2015","Elektrizität",0.24,"TI"
"2015","Fernwärme",0.004,"TI"
"2015","Gas",0.062,"TI"
"2015","Heizöl",0.488,"TI"
"2015","Holz",0.108,"TI"
"2015","Kohle",0,"TI"
"2015","Sonnenkollektor",0.002,"TI"
"2015","Wärmepumpe",0.093,"TI"
"2015","Andere_Energieträger",0.005,"VD"
"2015","Elektrizität",0.132,"VD"
"2015","Fernwärme",0.018,"VD"
"2015","Gas",0.252,"VD"
"2015","Heizöl",0.45,"VD"
"2015","Holz",0.075,"VD"
"2015","Kohle",0,"VD"
"2015","Sonnenkollektor",0.002,"VD"
"2015","Wärmepumpe",0.066,"VD"
"2015","Andere_Energieträger",0.003,"VS"
"2015","Elektrizität",0.269,"VS"
"2015","Fernwärme",0.005,"VS"
"2015","Gas",0.095,"VS"
"2015","Heizöl",0.37,"VS"
"2015","Holz",0.14,"VS"
"2015","Kohle",0,"VS"
"2015","Sonnenkollektor",0.005,"VS"
"2015","Wärmepumpe",0.113,"VS"
"2015","Andere_Energieträger",0.006,"NE"
"2015","Elektrizität",0.039,"NE"
"2015","Fernwärme",0.019,"NE"
"2015","Gas",0.241,"NE"
"2015","Heizöl",0.568,"NE"
"2015","Holz",0.083,"NE"
"2015","Kohle",0.001,"NE"
"2015","Sonnenkollektor",0.004,"NE"
"2015","Wärmepumpe",0.04,"NE"
"2015","Andere_Energieträger",0.009,"GE"
"2015","Elektrizität",0.056,"GE"
"2015","Fernwärme",0.009,"GE"
"2015","Gas",0.36,"GE"
"2015","Heizöl",0.513,"GE"
"2015","Holz",0.013,"GE"
"2015","Kohle",0.001,"GE"
"2015","Sonnenkollektor",0.002,"GE"
"2015","Wärmepumpe",0.038,"GE"
"2015","Andere_Energieträger",0.004,"JU"
"2015","Elektrizität",0.086,"JU"
"2015","Fernwärme",0.015,"JU"
"2015","Gas",0.042,"JU"
"2015","Heizöl",0.59,"JU"
"2015","Holz",0.139,"JU"
"2015","Kohle",0,"JU"
"2015","Sonnenkollektor",0.002,"JU"
"2015","Wärmepumpe",0.121,"JU"
